rd_0,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,team_id,team_name,team_rating,team_region,team_seed,position
0,0.987632002,0.803221307,0.589206004,0.401737092,0.241125214,0.149953843,222,Villanova,95.18,East,1,1
0,0.007791272,0.000756286,5.90E-05,4.64E-06,3.35E-07,3.08E-08,116,Mount St. Mary's,69.78,East,16a,2
0,0.789798041,0.176214197,0.091755652,0.044102419,0.019314221,0.009153821,275,Wisconsin,87.84,East,8,3
0,0.210201959,0.019472191,0.005276095,0.001366767,0.000321385,8.84E-05,259,Virginia Tech,80.02,East,9,4
0,0.844766912,0.491577691,0.178718249,0.095957031,0.047313098,0.024829884,258,Virginia,90.02,East,5,5
0,0.155233088,0.042110696,0.005987617,0.001578644,0.000373603,0.000103395,350,North Carolina-Wilmington,80.19,East,12,6
0,0.874918052,0.443570125,0.12650591,0.057340559,0.023554631,0.010564921,57,Florida,87.84,East,4,7
0,0.125081948,0.022741488,0.002467302,0.000516807,0.000100944,2.35E-05,2193,East Tennessee State,78.05,East,13,8
0,0.789641696,0.456299666,0.197903735,0.071711276,0.033629271,0.01690412,2567,Southern Methodist,88.43,East,6,9
0,0.087329907,0.028813694,0.008298097,0.001981912,0.000735993,0.000302564,30,Southern California,81.18,East,11b,10
0,0.903498885,0.460614315,0.188426523,0.064282635,0.028869539,0.013981918,239,Baylor,87.66,East,3,11
0,0.096501115,0.013359236,0.001667678,0.000172058,3.26E-05,7.40E-06,166,New Mexico State,75.6,East,14,12
0,0.567264573,0.127884353,0.046432449,0.010826562,0.003178218,0.001064459,2579,South Carolina,83.08,East,7,13
0,0.432735427,0.086480328,0.034046864,0.00865809,0.002774714,0.001003543,269,Marquette,83.01,East,10,14
0,0.966903494,0.779869687,0.510116107,0.236574934,0.122114058,0.066660798,150,Duke,92.26,East,2,15
0,0.033096506,0.005765631,0.00066986,4.90E-05,5.27E-06,7.06E-07,2653,Troy,73.28,East,15,16
0,0.979612036,0.805572801,0.556596439,0.38029915,0.212211901,0.103890499,2305,Kansas,92.18,Midwest,1,17
0,0.006759611,0.000769684,5.46E-05,4.64E-06,5.19E-07,5.29E-08,302,UC-Davis,69.94,Midwest,16b,18
0,0.551241404,0.111588464,0.040975026,0.015984554,0.005821239,0.00185981,2390,Miami (FL),84.56,Midwest,8,19
0,0.448758596,0.080259936,0.027907107,0.010376899,0.003360842,0.000958077,127,Michigan State,82.79,Midwest,9,20
0,0.830879631,0.41926545,0.165322582,0.090313293,0.041477263,0.016654491,66,Iowa State,87.92,Midwest,5,21
0,0.169120369,0.038797278,0.006873639,0.001986006,0.000661836,0.000193962,2440,Nevada,80.73,Midwest,12,22
