position,team_id,team_name,team_color
34,12,Arizona,#BB003A
62,8,Arkansas,#CD1041
11,239,Baylor,#008649
41,2083,Bucknell,#FF7000
58,2086,Butler,#0D1361
56,2132,Cincinnati,#000000
25,156,Creighton,#192DAA
52,2168,Dayton,#E70808
15,150,Duke,#004C7D
8,2193,East Tennessee State,#025BA3
7,57,Florida,#FF4208
37,526,Florida Gulf Coast,#009569
38,52,Florida State,#900028
48,2250,Gonzaga,#DC272A
28,314,Iona,#910126
21,66,Iowa State,#840A2C
32,55,Jacksonville State,#E53F40
17,2305,Kansas,#006AB5
55,2306,Kansas State,#633194
53,2309,Kent State,#F7BD0A
50,96,Kentucky,#003399
31,97,Louisville,#FD0B20
14,269,Marquette,#FDB826
40,120,Maryland,#D5002B
19,2390,Miami (FL),#E75C2D
29,130,Michigan,#FAC417
20,127,Michigan State,#1C453A
59,2393,Middle Tennessee,#0079C2
60,135,Minnesota,#FFF63E
2,116,Mount St. Mary's,#005596
22,2440,Nevada,#153E5F
12,166,New Mexico State,#891216
64,153,North Carolina,#98BFE5
6,350,North Carolina-Wilmington,#006561
33,155,North Dakota,#00A26B
49,94,Northern Kentucky,#FFC72C
46,77,Northwestern,#393996
44,87,Notre Dame,#BAA008
30,197,Oklahoma State,#DE3121
27,2483,Oregon,#044520
43,163,Princeton,#F9A13A
23,2509,Purdue,#B89D29
26,227,Rhode Island,#003559
36,2608,Saint Mary's (CA),#003768
61,2550,Seton Hall,#0857B1
13,2579,South Carolina,#CD0000
47,2571,South Dakota State,#FFDE00
10,30,Southern California,#AE2531
9,2567,Southern Methodist,#E32F38
63,2640,Texas Southern,#6A0403
16,2653,Troy,#AE0210
18,302,UC-Davis,#183563
54,26,UCLA,#005C8E
45,238,Vanderbilt,#BB8D09
24,261,Vermont,#FFCE0E
1,222,Villanova,#123d7C
5,258,Virginia,#EA4B0F
35,2670,Virginia Commonwealth,#7D7D7A
4,259,Virginia Tech,#74232D
42,277,West Virginia,#FFC600
51,2724,Wichita State,#F8D429
57,2737,Winthrop,#9E0B0E
3,275,Wisconsin,#A00000
39,2752,Xavier,#002144
